OperatorControlNumber,DifficultyDate,SubmissionDate,OperatorDesignator,SubmitterDesignator,SubmitterTypeCode,ReceivingRegionCode,ReceivingDistrictOffice,SDRType,JASCCode,NatureOfConditionA,NatureOfConditionB,NatureOfConditionC,PrecautionaryProcedureA,PrecautionaryProcedureB,PrecautionaryProcedureC,PrecautionaryProcedureD,StageOfOperationCode,HowDiscoveredCode,RegistryNNumber,AircraftMake,AircraftModel,AircraftSerialNumber,AircraftTotalTime,AircraftTotalCycles,EngineMake,EngineModel,EngineSerialNumber,EngineTotalTime,EngineTotalCycles,PropellerMake,PropellerModel,PropellerSerialNumber,PropellerTotalTime,PropellerTotalCycles,PartMake,PartName,PartNumber,PartSerialNumber,PartCondition,PartLocation,PartTotalTime,PartTotalCycles,PartTimeSince,PartSinceCode,ComponentMake,ComponentModel,ComponentName,ComponentPartNumber,ComponentSerialNumber,ComponentLocation,ComponentTotalTime,ComponentTotalCycles,ComponentTimeSince,ComponentSinceCode,FuselageStationFrom,FuselageStationTo,StringerFrom,StringerFromSide,StringerTo,StringerToSide,WingStationFrom,WingStationFromSide,WingStationTo,WingStationToSide,ButtLineFrom,ButtLineFromSide,ButtlineTo,ButtlineToSide,WaterLineFrom,WaterLineTo,CrackLength,NumberOfCracks,CorrosionLevel,StructuralOther,Discrepancy
FDEA202601030003,01/03/2026,"2026-01-05T10:47:02.397-05:00",FDEA,FDEA,A,CE,23,A,5100,O,,,K,,,,IN,V,963FD,BOEING,75728A,24368,77098,27923,,,,,,,,,,,,REPAIR,,,"NOT REPORTED","ZONE 100",,,,,BOEING,,SKIN,146N33701,,"ZONE 100",,,,,,,,,,,,,,,,,,,,,,,,,"EXISTING REPAIR FOUND AT # 2 CARGO DOOR AFT LOWER CORNER CUTOUT AREA  COMPLIED WITH EA # F-5330-T0305556 B TITLE: FUSELAGE PLATES & SKINS - REPLACEMENT OF   EXISTING STA 1440 FUSELAGE SKIN REPAIR AT 24R-25R (# 2 CARGO DOOR OPENING)"
FDEA202601030004,01/03/2026,"2026-01-05T10:47:02.560-05:00",FDEA,FDEA,A,CE,23,A,5210,O,,,K,,,,IN,V,986FD,BOEING,757231,28482,47164,20152,,,,,,,,,,,,DOOR,,,INOPERATIVE,"ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNABLE TO CLOSE L-1 DOOR FROM INSIDE OR OUTSIDE.  AMM 52-11-00-2  ACCESSED L1 DOOR VIA R1 DOOR, OPERATED L1 DOOR FROM INSIDE ACFT DOOR OPERATED NORAMLLY. OPENED AND CLOSED L1 DOOR FROM EXTERIOR, DOOR OPERATED NORMALLY. ALL OPENINGS AND CLOSINGS OF L1 DOOR NORMAL. ACFT OK FOR SERVICE."
AALA202601058706,01/01/2026,"2026-01-05T11:04:15.213-05:00",AALA,AALA,A,SW,21,A,5310,O,,,K,,,,IN,V,718AN,BOEING,777323ER,41665,48088,5598,,,,,,,,,,,BOEING,"WINDOW POST",,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT IN BASE MAINTENANCE: ** COCKPIT - R1 WINDOW VERTICAL POST FOUND CRACK.  MAINTENANCE REPLACED R1 WINDOW VERTICAL POST AS PER AMM 56-11-01 REV 254 DEC-08-2025."
AALA202601051733,01/01/2026,"2026-01-05T11:04:16.217-05:00",AALA,AALA,A,SW,21,A,5330,O,,,K,,,,IN,V,758US,AIRBUS,A319112,1348,62857,40678,,,,,,,,,,,AIRBUS,SKIN,,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,FR13,FR14,"Z+780",R,"Z+950",R,,,,,,,,,,,,1,,,"AIRCRAFT IN BASE MAINTENANCE: FATIGUE CRACKS FOUND RADIATING FROM THE FASTNER HOLE ON THE LH SIDE OF THE FUSELAGE SKIN BETWEEN FR 13 AND FR 14 AND Z+790 AND Z+950. MAINTENANCE EXTERNAL DOUBLER REPAIR. REF SRM 51-70-20, SRM 53-11-11-300-041, REPAIR DRAWING R53D10000 B, AND EA 371117."
AALA202601053486,01/05/2026,"2026-01-05T14:35:29.010-05:00",AALA,AALA,A,SW,21,A,5320,O,,,K,,,,IN,V,125AA,AIRBUS,A321231,6272,35462,11945,,,,,,,,,,,AIRBUS,"FLOOR SUPPORT",D5311440620000,,CORRODED,"ZONE 100",,,,,,,,,,,,,,,"FR 16",,,,,,,,,,41,L,,,,,,,2,,"AIRCRAFT IN BASE MAINTENANCE: CORROSION ON MAIN CABIN FLOOR SUPPORT AT FR 16 AND LBL 41. REPLACED FLOOR SUPPORT PER SRM 51-72-11."
AALA202601057985,01/04/2026,"2026-01-05T16:38:51.517-05:00",AALA,AALA,A,SW,21,A,5270,N,,,A,,,,CL,O,963NN,BOEING,737823,31208,32905,13767,,,,,,,,,,,,"PROXIMITY SWITCH",,,"OUT OF ADJUST","ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS DECLARED DUE TO: DURING CLIMB TO 5000 FORWARD CARGO DOOR LIGHT ILLUMINATED. AIRCRAFT AIR INTERRUPTED BACK TO AND LANDED SAFELY AT ORD. PSEU BITE PREVIOUS FLIGHT FAULTS 52-72001. NO EXISTING FAULTS SHOWN. TROUBLESHOT PER FIM 52-30-00-810-803. FOUND FORWARD CARGO DOOR WARNING SWITCH S960 OUT OF ADJUSTMENT AT 0.75 INCH PER AMM 52-71-31. CORRECTED TO 0.81 INCH WHICH IS NOW WITHIN LIMITS. OPERATIONAL CHECK GOOD. PSEU BITE TEST IS GOOD PER FIM 32-09, TASK 801."
AALA202601053881,01/02/2026,"2026-01-05T16:38:51.690-05:00",AALA,AALA,A,SW,21,A,2910,K,J,,A,,,,CR,O,889NN,BOEING,737823,33314,39420,17092,,,,,,,,,,,,"QUICK DISCONNECT",,,DAMAGED,"ZONE 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS NOT DECLARED DUE TO: NUMBER 2 ENGINE HYDRAULIC LOW PRESSURE IN FLIGHT. AIRCRAFT AIR INTERRUPTED BACK TO AND LANDED SAFELY AT MIA. PARTIAL WORK ACCOMPLISHED FOUND ENGNE DRIVE PUMP HOSE QUICK DISCONNECT FITTING DAMAGED. REMOVED AND REPLACED NUMBER 2 ENGINE EDP HOSE QUICK DISCONNECT PRESSURE HOSE (AALA202601053881), PER AMM 29-11-11. ALSO REMOVED AND REPLACED NUMBER 2 ENGINE HYDRAULIC SUPPLY LINE HOSE (AALA202601050137), PER AMM 29-50-11 AND 29-11-11. ACCOMPLISHED LEAK CHECK, PER AMM 71-00-00."
AALA202601057674,01/01/2026,"2026-01-05T16:38:51.860-05:00",AALA,AALA,A,SW,21,A,2120,B,,,O,,,,NR,O,960NN,BOEING,737823,33330,33689,14066,,,,,,,,,,,,"AIR FILTER",,,DIRTY,"ZONE 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS GROUNDED: FUMES REPORTED IN TRHE COCKPIT ON MULTIPLE DIFFERENT LEGS. REMOVE AND REPLACED RECIRCULATION AIR FILTER. PER AMM 21-25-01-000-801."
AALA202601052621,01/03/2026,"2026-01-05T16:38:52.027-05:00",AALA,AALA,A,SW,21,A,2120,B,,,O,,,,NR,O,960NN,BOEING,737823,33330,33694,14068,,,,,,,,,,,,UNKNOWN,,,FUMES,COCKPIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS GROUNDED: REPEATED FUMES IN THE COCKPIT. **SUPPLEMENTAL REPORT WILL BE SUBMITTED**(OPEN)."
AALA202601050137,01/02/2026,"2026-01-05T16:38:52.197-05:00",AALA,AALA,A,SW,21,A,2910,K,J,,A,,,,CR,O,889NN,BOEING,737823,33314,39420,17092,,,,,,,,,,,,"HYDRAULIC LINE",,,DAMAGED,"ZONE 400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS NOT DECLARED DUE TO: NUMBER 2 ENGINE HYDRAULIC LOW PRESSURE IN FLIGHT. AIRCRAFT AIR INTERRUPTED BACK TO AND LANDED SAFELY AT MIA. PARTIAL WORK ACCOMPLISHED FOUND ENGNE DRIVE PUMP HOSE QUICK DISCONNECT FITTING DAMAGED. REMOVED AND REPLACED NUMBER 2 ENGINE EDP HOSE QUICK DISCONNECT PRESSURE HOSE (AALA202601053881), PER AMM 29-11-11. ALSO REMOVED AND REPLACED NUMBER 2 ENGINE HYDRAULIC SUPPLY LINE HOSE (AALA202601050137), PER AMM 29-50-11 AND 29-11-11. ACCOMPLISHED LEAK CHECK, PER AMM 71-00-00."
AALA202601057945,01/02/2026,"2026-01-05T11:04:13.377-05:00",AALA,AALA,A,SW,21,A,3350,L,,,K,,,,IN,C,833AW,AIRBUS,A319132,1844,68116,32720,,,,,,,,,,,DIEHL,"POWER SUPPLY",32145410,2191,INOPERATIVE,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT IN BASE MAINTENANCE: INOP UNIT EPSU POSITION RH SIDE EMERGENCY EXIT AREA AT PASSENGER CABIN. MAINTENANCE REPLACED EMERGENCY POWER SUPPY UNIT (EPSU) POSITION RH EMERGENCYEXIT AREA AT PASSENGER CABIN  IAW A320 FAM AMM 33-51-38-000-001-A AND A320 FAM AMM 33-51-38-400-001-A."
AALA202601059037,01/02/2026,"2026-01-05T11:04:13.547-05:00",AALA,AALA,A,SW,21,A,3350,L,,,K,,,,IN,C,833AW,AIRBUS,A319132,1844,68116,32720,,,,,,,,,,,DIEHL,EPSU,32145410,5276,INOPERATIVE,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT IN BASE MAINTENANCE: INOP UNIT EPSU POSITION LH EMERGENCY EXIT AREA AT PASSENGER CABIN. MAINTENANCE REPLACED EMERGENCY POWER SUPPLY UNIT (EPSU) POSITION LH EMERGENCY EXIT AREA AT PASSENGER CABIN  IAW A320 FAM AMM 33-51-38-000-001-A AND A320 FAM AMM 33-51-38-400-001-A."
AALA202601057852,01/01/2026,"2026-01-05T11:04:13.713-05:00",AALA,AALA,A,SW,21,A,3397,L,,,K,,,,IN,C,717UW,AIRBUS,A319112,1069,68599,41015,,,,,,,,,,,,"ELEC CONNECTOR",,,LOOSE,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS GROUNDED: SEAT 9ABC AND 10 ABC EMERGENCY LIGHT INOP. FOUND CONNECTOR LOOSE AT ROW 10 ABC . SECURED CONNECTOR IAW AMM 33-51-00."
AALA202601058756,01/03/2026,"2026-01-05T11:04:13.880-05:00",AALA,AALA,A,SW,21,A,5344,O,,,O,,,,TX,O,766US,AIRBUS,A319112,1378,64439,40815,,,,,,,,,,,,HINGE,,,LOOSE,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS GROUNDED: FLIGHT DECK DOOR VERY DIFFICULT TO OPERATE IN FLIGHT.  DOOR DRAGS ON FLOOR AND STRIKE LATCHES APPEAR TO PROTRUDE TOO FAR.  DOOR CANNOT BE PULLED CLOSED FROM OUTSIDE FLIGHT DECK. MAINTENANCE REPLACE UPPER HINGE HARDWARE IAW AMM 52-51-11."
AALA202601055247,01/03/2026,"2026-01-05T11:04:14.050-05:00",AALA,AALA,A,SW,21,A,3350,O,,,K,,,,IN,V,793AN,BOEING,777223,30255,96059,12532,,,,,,,,,,,,LIGHT,,,DISLODGED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: SEAT 8D FWD. EMERGENCY EXIT LIGHT INOP. MAINTENANCE FOUND LIGHT ASSEMBLY DISLODGED , RE-SECURED AS REQUIRED."
AALA202601050189,01/04/2026,"2026-01-05T11:04:14.213-05:00",AALA,AALA,A,SW,21,A,5520,O,,,K,,,,IN,V,9004F,AIRBUS,A319115,5745,32595,15876,,,,,,,,,,,AIRBUS,"HINGE ARM",,,"EXCESS PLAY","ZONE 300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT IN BASE MAINTENANCE: EXCESSIVE PLAY HINGE ARM 4 ELEVATOR ON RH HORIZONTAL STABILIZER. MAINTENANCE REPLACED HINGE ARM #4 ELEVATOR ON RH IAW A320 FAM AMM-55-16-42-000-001-A AND IAW A320 FAM AMM-55-16-42-400-001-A."
AALA202601057185,01/04/2026,"2026-01-05T11:04:14.380-05:00",AALA,AALA,A,SW,21,A,5520,O,,,K,,,,IN,V,9004F,AIRBUS,A319115,5745,32595,15876,,,,,,,,,,,AIRBUS,"HINGE ARM",,,"EXCESS PLAY","ZONE 300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT IN BASE MAINTENANCE: REPLACE  HINGE ARM 3 ELEVATOR ON RH HORIZONTAL STABILIZER. MAINTENANCE REPLACED HINGE ARM #3 ELEVATOR ON RH I.A.W A320 FAM AMM 55-16-42-000-001-A AND I.A.W A320 FAM AMM 55-16-42-400-001-A."
AALA202601053101,01/04/2026,"2026-01-05T11:04:14.543-05:00",AALA,AALA,A,SW,21,A,5270,N,,,O,,,,CR,O,765US,AIRBUS,A319112,1371,63778,40387,,,,,,,,,,,,"PROXIMITY SWITCH",,,"FALSE INDICATION","ZONE 800 - DOORS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS GROUNDED: AFTER ONE HOUR AT CRUSE FLIGHT, DOOR 2L  ARM INDICATIONS ON FLIGHT DECK DOOR/OXY PAGE INDICATE DISARMED.  FLIGHT ATTENDANT PANEL IN FORWARD GALLEY HAS A FLASHING DISARMED INDICATION. DOOR 2L ARM LEVER IS IN THE ARMED POSITION. ALL INDICATIONS WERE NORMAL PRIOR TO CRUISE FLIGHT. MAINTENANCE REPLACED L2 DOOR PROX SWITCH PER AMM 52-73-11-000-00 2A/400-002-A PREFORMED OPERATIONAL TEST AMM 52-73-00-710-001-A."
AALA202601057539,01/04/2026,"2026-01-05T11:04:14.713-05:00",AALA,AALA,A,SW,21,A,5520,O,,,K,,,,IN,V,9004F,AIRBUS,A319115,5745,32595,15876,,,,,,,,,,,AIRBUS,"HINGE ARM",,,"EXCESS PLAY","ZONE 300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT IN BASE MAINTENANCE: REPLACE HINGE ARM 6 ELEVATOR ON RH HORIZONTAL STABILIZER . MAINTENANCE REPLACED HINGE ARM #6 ON ELEVATOR RH IAW A320 FAM AMM-55-16-42-000-001-A AND IAW A320 FAM AMM-55-16-42-400-001-A."
AALA202601059513,01/04/2026,"2026-01-05T11:04:14.883-05:00",AALA,AALA,A,SW,21,A,3350,L,,,K,,,,IN,C,112US,AIRBUS,A320214,1134,67805,39569,,,,,,,,,,,,BULB,,,"BURNED OUT","ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: EPSU EXT LOAD EMER R FAULT (EXT LIGHTS FAULT). MAINTENANCE FOUND EXTERIOR BULBS BURNED OUT RE-LAMPED IAW AMM 33-51-15."
AALA202601059753,01/04/2026,"2026-01-05T11:04:15.050-05:00",AALA,AALA,A,SW,21,A,2565,O,,,O,,,,TX,O,109UW,AIRBUS,A320214,1065,73878,37620,,,,,,,,,,,AIRBUS,BUSTLE,,,UNSECURE,"ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: F/A REPORTS THEY ARE UNABLE TO ARM AFTER RIGHT CABIN DOOR. RESECURED SLIDE BUSTLE IN REFERENCE WITH AMM 25-62-50."
2026FA0000000,01/02/2026,"2026-01-02T02:46:25.483-05:00",,,B,SW,99,G,7230,C,,,K,,,,IN,B,,,,,,,RROYCE,RB211TRENT77,41219,47858,14897,,,,,,RROYCE,ENGINE,,,FOD,,47858,14897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DURING THE TRENT, 700, HP AND IP COMPRESSOR INCOMING BORESCOPE, SANAD DISCOVERED FOD WAS DETECTED INSIDE THE ROTOR PATH; THE FOD IS SUSPECTED TO BE A BORESCOPE TIP. THE FOD WAS FOUND ON THE LINER SURFACE OF THE INTERMEDIATE PRESSURE COMPRESSOR (IPC) STAGE 6 AT APPROXIMATELY THE 6 O’CLOCK POSITION.  A SECOND FOD WAS IDENTIFIED AT IPC STAGES 4 AND 8.  A THIRD FOD WAS ALSO FOUND IN HIGH PRESSURE COMPRESSOR (HPC) STAGES 1 AND 2."
SWAA2026F00001,01/01/2026,"2026-01-01T15:15:35.220-05:00",SWAA,SWAA,A,SW,29,A,7200,O,,,K,,,,IN,9,7857B,BOEING,73779P,29358,61796,41245,CFMINT,CFM567B242,,,,,,,,,,"DATA PLATE",6498040200,,LOOSE,ENGINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ENGINE DATA PLATE (P/N'S 649-804-020-0, 649-804-023-0, 649-804-024-0, 649-804-027-0), DETACHES FROM THE ENGINE FAN FRAME. THIS ALL EA PROVIDES TEMPORARY RELIEF AND INITIATES EA M-20-172-00810-TLD TO AUTHORIZE A 45-DAY DEFERRAL OF REINSTALLATION OF DATA PLATE OR THE BRACKET AND DATA PLATE ASSEMBLY."
EE4Y2026010323690,01/03/2026,"2026-01-03T10:28:28.100-05:00",,EE4Y,B,SW,99,G,5330,O,,,K,,,,IN,V,397NC,EMB,ERJ190100IGW,151,36551,22103,,,,,,,,,,,EMB,SKIN,,,NICKED,"ZONE 100",,,,,,,,,,,,,,,16,17,26,L,28,L,,,,,,,,,,,,,,,"PER CUSTOMER REQUEST MUST BE EVALUATED EXISTING NICKS LOCATED FROM FR15 TO FR17+100MM, BETWEEN STRG 26LH AND 26RH. 7. EVALUATED BLEND OUT WITH CLAD LAYER PENETRATED AND FOUND OUT LIMITS PER ERJ190 PART II SRM 53-10-01, AD 51, PARG. 4B, TABLE 102, FIG. 101, SHEET 4 (DAMAGE IN ZONE NOT ALLOWED). THE CONDITION REPORTED WAS REPAIRED IAW ETD2025-190-933360 AND DOCUMENTED BY COOPESA COO-EO-2025-23576, UNDER JOB A1Q271 NRI 21-60"
EE4Y2026010323691,01/03/2026,"2026-01-03T10:37:29.200-05:00",,EE4Y,B,SW,99,G,5310,O,,,O,,,,IN,V,397NC,EMB,ERJ190100IGW,151,36551,22103,,,,,,,,,,,EMB,SKIN,,,NICKED,"ZONE 100",,,,,,,,,,,,,,,17,20,26,L,26,R,,,,,,,,,,,,,,,"DURING THE STRUCTURAL INSPECTION, NICKS WERE FOUND ON THE FORWARD FUSELAGE BETWEEN FR17 +100MM AND FR20 + 165MM AND BETWEEN S-26L AND S-26R ON THE EXTERNAL SKIN. THE DAMAGE WAS BLENDED IN ACCORDANCE WITH ERJ-190 SRM PART II 51-10-03, TYPES A AND D. EVALUATED THE BLEND-OUT WITH CLAD LAYER PENETRATION AGAINST THE LIMITS SPECIFIED IN ERJ-190 SRM PART II 53-10-01, AD 51, PARAGRAPH 4B, TABLE 102, FIGURE 101, SHEET 4. THE DAMAGE IS LOCATED IN A ZONE WHERE IT IS NOT ALLOWED. THE CONDITION REPORTED WAS REPAIRED IAW ETD2025-190-933363 AND DOCUMENTED BY COOPESA COO-EO-2025-23632, UNDER JOB A1Q271 NRI 21-61"
EE4Y2026010323692,01/03/2026,"2026-01-03T11:08:53.323-05:00",,EE4Y,B,SW,99,G,5310,O,,,K,,,,IN,V,397NC,EMB,ERJ190100IGW,151,36551,22103,,,,,,,,,,,EMB,SKIN,,,DENTED,"ZONE 200",,,,,,,,,,,,,,,1,5,8,R,15,R,,,,,,,,,,,,,,,"DURING THE STRUCTURAL INSPECTION, THE FUSELAGE RH SKIN PANEL LOCATED BETWEEN FR01–FR05 AND STRG 08RH–15RH WAS FOUND WITH 32 DENTS. EVALUATED DENTED SKIN AGAINST LIMITS PER ERJ-190 PART II SRM 53-10-01, AD 52, PARAGRAPH 3F. ADDITIONALLY, 32 DENTS WERE RECORDED IN THE FORWARD FUSELAGE SKIN PER CUSTOMER RECORDS. TOTAL OF DENTS IN FORWARD FUSELAGE ARE 64 AND EXCEEDS THE LIMIT OF 10EA AS STATED ON ERJ-190 SRM 53-10-01, AD 52 PARAGRAPH 3F (7). THE CONDITION REPORTED WAS REPAIRED IAW ETD2025-190-933486 AND DOCUMENTED BY COOPESA COO-EO-2025-23581, UNDER JOB A1Q271 NRI 21-63"
EE4Y2026010323693,01/03/2026,"2026-01-03T11:17:21.473-05:00",,EE4Y,B,SO,23,G,5330,O,,,O,,,,IN,V,397NC,EMB,ERJ190100IGW,151,36551,22103,,,,,,,,,,,EMB,SKIN,,,CORRODED,"ZONE 100",,,,,,,,,,,,,,,73,X=23146,29,L,,,,,,,,,,,,,,,,,"CUSTOMER REPORTS CORROSION DAMAGE AFFECTING THE CENTER FUSELAGE II SKIN INNER FACE, LOCATED IN THE STRG-29LH LOCATION, AT FR73+130MM. VERIFIED BLEND OUT WITH CLAD LAYER PENETRATED AND FOUND OUT OF LIMITS IAW ERJ190 PART II SRM 53-22-01, AD51, PARAG. 5A (2), TABLE 102, FIG. 104 SHEET 4. THE CONDITION REPORTED WAS REPAIRED IAW ETD2025-190-933873 AND DOCUMENTED BY COOPESA COO-EO-2025-23604, UNDER JOB A1Q271 NRI 21-64"
4TXA2026010422501,01/03/2026,"2026-01-04T19:15:37.273-05:00",4TXA,,A,SW,07,A,3241,O,,,O,,,,LD,V,804TJ,BOEING,737401,23988,76347,66931,,,,,,,,,,,,COMPUTER,4271901,RG001,INTERMITTENT,ANTI-SKID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#3 MLG TIRE BLEW ON LANDING ROLL. REQUIRED CONDITIONAL INSPECTION. PERFORMED CONDITIONAL INSPECTION I.A.W. AMM 05-51-54, NO OTHER DEFECTS NOTED. REMOVED AND REPLACED #3 MLG WHEEL ASSY PER AMM 32-45-11. ANTI-SKID CONTROL SYSTEM CHECKED, FAILED LOCKED WHEEL PROTECTION TEST INTERMITTENTLY. ITEM TRANSFERRED MEL 32-02-01, CAT C AUTH # D32JAN0326-1, EXP. 01/13/26. PER AMM, THE OPPOSITE WHEEL ON THE SAME AXLE REQUIRES REPLACEMENT. THE #4 TIRE WAS PLACED ON EO B737-32-45-01, WHEEL REPLACEMENT AT FIRST AVAILABLE MX OPPORTUNITY."
AALA202601044291,01/04/2026,"2026-01-04T09:27:47.980-05:00",AALA,AALA,A,SW,21,A,5220,O,,,K,,,,IN,V,153AN,AIRBUS,A321231,6908,30507,12080,,,,,,,,,,,RATIER,BOTTLE,,,"LOW PRESSURE","ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: R3 DOOR DAMPER AND EMERGENCY OPERATION CYLINDER PRESSURE LOW. SERVICED DOOR DAMPER AND EMERGENCY OPERATION CYLINDER PER AMM 52-22-00."
ASAA2026010163525,01/01/2026,"2026-01-05T20:12:04.527-05:00",ASAA,ASAA,A,NM,02,A,3350,O,,,O,,,,LD,O,457AS,BOEING,737990ER,36355,42822,13485,,,,,,,,,,,,BULB,,,INTERMITTENT,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMERGENCY EXIT LIGHT BULB COME ON INTERMITTENTLY USUALLY DURING LANDING. GROUNDED - YES. OPS CHECKED EMERGENCY AISLE LIGHT AT ROW 27 ABC. LIGHT WORKS NORMALLY. REF AMM TASK 33-51-03-960-803."
ASAA2026010263526,01/02/2026,"2026-01-05T20:12:04.697-05:00",ASAA,ASAA,A,NM,02,A,3350,O,,,K,,,,IN,V,703AL,BOEING,7379,67426,8388,2404,,,,,,,,,,,,LAMP,767,,INOPERATIVE,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RIGHT FWD OVERWING EMERGENCY EXIT LIGHT INOPERATIVE.  GROUNDED - YES. R/H EXTERIOR FWD OVERWING EMER EXIT RE-LAMPED, OPS CHECK GOOD IAW AMM 33-51-04. AFT R/H EMER IAW AMM 52-22-00."
ASAA2026010363543,01/03/2026,"2026-01-05T20:12:04.870-05:00",ASAA,ASAA,A,NM,02,A,5210,O,,,K,,,,IN,V,734AL,BOEING,7379,68521,2285,702,,,,,,,,,,,,DOOR,,,STIFF,"ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L1 DOOR EXCESSIVELY HARD TO SWING OPEN OR CLOSED. FEELS HEAVY ON HINGE POINTS AND REQUIRES UNUSUALLY ADDITIONAL EFFORT.  GROUNDED - YES.  PERFORMED AMM TASK 52-11-00-200-801. FOUND NO EXCESSIVE WEAR OR DRY AREAS. FOUND NO LEAKAGE OR WEAR ON SNUBBER. DOOR OPERATION IS SMOOTH WITH NO BINDING OR POPPING NOTED. NO HISTORY FOR ANY FWD PASSENGER DOOR ISSUES."
ASAA2026010263552,01/02/2026,"2026-01-05T20:12:05.040-05:00",ASAA,ASAA,A,NM,02,A,5210,O,,,K,,,,IN,V,419AS,BOEING,737990ER,41734,47490,14869,,,,,,,,,,,,HANDLE,,,JAMMED,"ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"F/A REPORTS L1 DOOR HANDLE JAMMED/WOULD NOT OPEN. GROUNDED - YES. OPS CHECK DOOR PER FIM 52-10. OPS CHECKS NORMAL."
ASAA2026010263560,01/02/2026,"2026-01-05T20:12:05.210-05:00",ASAA,ASAA,A,NM,02,A,3350,L,,,K,,,,IN,C,553AS,BOEING,737890,34594,65215,23208,,,,,,,,,,,,"BATTERY PACK",D71702001,,INOPERATIVE,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DURING EMERGENCY LIGHT TEST. FOUND LT SIDE BOTH OVERWING LIGHTT & OVERWING ESCAPE GROUND ILLUMINATION LIGHT & RT SIDE FWD OVERWING LIGHT INOPERATIVE. GROUNDED - YES.  REPLACED EMERGENCY EXIT LIGHT BATTERY PACK (M1670) THEN LT SIDE AFT OVERWING LIGHT & OVERWING ESCAPE GRD ILLUMINATION LIGHT TEST PASSED IAW AMM TASK 33-51-06-960-806. LT & RT FWD OVERWING DOOR EMERGENCY EXIT LIGHT BATTERY PACK REPLACEMENT REQUIRED. R & R EMERGENCY EXIT LIGHT BATTERY PACK M 1676 AND M 2335. IAW AMM 33-51-06. OPS CHECKED GOOD. ALL EMERGENCY LIGHTS ARE OPERATIONAL."
ASAA2026010262662,01/02/2026,"2026-01-05T17:50:46.543-05:00",ASAA,ASAA,A,NM,02,A,5210,O,,,A,,,,CL,O,494HA,BOEING,717200,55182,35088,38479,,,,,,,,,,,,UNKNOWN,,,NOISE,"ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ATB- FA REPORTS THREE LOUD SOUNDS COMING FROM MAIN CABIN DOOR DURING CLIMB OUT. CABIN PRESSURE INDICATING NORMAL. GROUNDED - YES. CLEANED MAIN DOOR SEAL. CONDITION OF SEAL GOOD. PERFORMED CABIN PRESSURIZATION TO DP OF 7 PSI TWICE. IAW WITH AMM 213000-780801. NO NOISE DETECTED. OK FOR SERVICE."
